Author,Title,Categories,Published date,Publisher,ISBN
"Miyamoto, Musashi",The Book of Five Rings,Business & Economics,2012,Rediscovered Books,9781590309841
"Mukherji, Nirmalangshu",The Architecture of Language,Language Arts & Disciplines,17/08/2006,OUP India,9780195684469
"Nietzsche, Friedrich",On the Genealogy of Morals,Philosophy,02/01/2014,Penguin Classics,9780141195377
"Nietzsche, Friedrich",Beyond Good and Evil,Philosophy,14/08/2008,Oxford Paperbacks,9780199537075
"Pentz, Mike",Handling Experimental Data,Computers,1988,Open University Press,0335158242
"Pethő, Bertalan",A filozófiai híg mosléka,Philosophy,2001,Platon,
"Pléh, Csaba",A tanulás és gondolkodás keretei,Academic,2015,,9789632798646
"Prior, A. N.",Formal Logic,Philosophy,1962,Oxford University Press,
"Sapsolsky, Robert","Biology and Human Behavior: The Neurological Origins of Individuality, Part 2 and Part 2",Neuroscience,,The Teaching Company,9781598030815
"Schimel, Joshua",Writing Science: How to Write Papers That Get Cited and Proposals That Get Funded,Academic,29/11/2011,"Oxford University Press, U.S.A.",9780199760244
"Simblet, Sarah",Anatomy for the Artist,"Anatomy, Artistic",2001,"Penguin Books, Limited (UK)",9780751334418
"Smith, Adam",An Inquiry into the Nature and Causes of the Wealth of Nations: v. 1 (Inquiry Into the Nature & Causes of the Wealth of Nations) (Glasgow Edition of the Works and Correspondence of Adam Smith),Economics,01/01/1994,Liberty Fund Inc,9780865970069
"Smith, David Livingston",Approaching Psychoanalysis,Psychology,1999,Karnac Books,9781855751576
"Spivey, Nigel Jonathan",Enduring Creation,Art,2001,Univ of California Press,9780520230224
Sun-tzu,The Art of War,Philosophy,29/05/2008,Penguin UK,9780140455526
"Treadwell, James",Criminology (SAGE Course Companions series),Criminology,14/03/2006,SAGE Publications Ltd,9781412911344
"Ullman, James P. Wade Harlan K.",Shock and Awe — Achieving Rapid Dominance,Warfare,03/11/2006,Hard Press,9781406940060
"Vachss, Alice S.",Sex Crimes,Criminology,06/1993,Random House Inc (T),9780679424352
"Venes, Donald",Taber's Cyclopedic Medical Dictionary,Medical,2013,F A Davis Company,9780803629776
"Wevell, Anne",Reader's Digest word power dictionary,English language,2005,,9789622582361
"Wittgenstein, Ludwig",Philosophical Investigations,Analysis (Philosophy),1968,Wiley-Blackwell,0631146709
"Wittgenstein, Ludwig",Tractatus Logico-Philosophicus,Philosophy,01/1975,Routledge & Kegan Paul PLC,0710079230
"Zizek, Slavoj",The Parallax View,Philosophy,2009,MIT Press (MA),9780262512688
"Žižek, Slavoj",On Belief,Religion,2001,Psychology Press,9780415255325
"Žižek, Slavoj",The Fragile Absolute,Philosophy,01/2009,Verso Books,978-1844673025
Charles Rycroft,Critical Dictionary of Psychoanalysis,Psychoanalysis,1995,Penguin Books,
"Ray Bull, Claire Cooke, Ruth Hatcher, Jessica Woodhams, Charlotte Bilby and Tim Grant",Criminal Psychology,Criminology,2009,Oneworld Publications,978-1851684779
"Chomsky, Noam",Imperial Ambitions: Conversations with Noam Chomsky on the Post 9/11 World,Politics,2006,Penguin,978-0141026923
"Deleuze, Gilles  and Guattari, Felix",Anti-Oedipus,Philosophy,2013,Bloomsbury Academic,978-1780936611
Collins Dictionaries,Collins German Dictionary and Grammar,Dictionaries,2014,Collins,978-0007453023
"Klaus, Georg",Bevezetés a formális logikába,Philosophy,1963,Gondolat,
"Wartofsky, Marx W. ",A tudományos gondolkodás fogalmi alapjai,Academic,1977,Gondolat,
"Darwin, Charles",The Origin of Species,Evolution,2011,Harper Press,978-0007902231
"Žižek, Slavoj",Event: Philosophy in Transit,Philosophy,2014,Penguin,978-1846146268
"Ford, Boris","The Pelican Guide to English Literature, Volume 1: The Age of Chaucer",Literature,,,
"Ford, Boris","The Pelican Guide to English Literature, Volume 2: The Age of Shakespeare",Literature,,,
"Ford, Boris","The Pelican Guide to English Literature, Volume 3: from Donne to Marvell",Literature,,,
"Kubinyi Enikő, Miklósi Ádám",Megismerésünk korlátai ,Cognitive Sciences,2006,Gondolat Kiadó,963-9610-402
Kovács József; Takács Gábor; Takács Miklós,Analízis,Mathematics,2007,Nemzeti Tankönyvkiadó,978-963-19-5491-3
Oliver Sacks,"A férfi, aki kalapnak nézte a feleségét",Psychiatry,1986/2015,Picador/Park Könyvkiadó,9789633551424
Eszenyi Miklós,"Férfi a férfival, nő a nővel - Homoszexualitás a történelemben, a társadalomban és a kultúrában",Cultural Research,2006,Corvina,963135508X
"Badcock, Christopher",The Imprinted Brain,Cognitive Sciences,2009,Jessica Kingsley Publisher,97818449020234
"Ramachandran, V.S. and Blakeslee, Sandra",Phantoms in the Brain,Cognitive Sciences,1999,Fourth Estate,978-1857028959
"Ellis, Rob, Humphreys, Glyn",Connectionis Psychology: A text with readings,Cognitive Sciences,2005,Psychology Press,863777872
"Gravetter, J Frederick, Forzano, Lori-Ann B.",Research Methods for the Behavioral Sciences 3rd ed.,,2009,Wadsworth,9780495509783
"Moore, Thomas",Utopia,,2016/1516,Verso,9781784787608
"Thacker, Eugene",In the Dust of This Planet: Horror of Philosophy (Volume 1),Philosophy,2011,Zero Books,978-1846946769
"Thacker, Eugene",Starry Speculative Corpse: Horror of Philosophy (Volume 2),Philosophy,2015,Zero Books,978-1782798910
"Thacker, Eugene",Tentacles Longer Than Night: Horror of Philosophy (Volume 3),Philosophy,2015,Zero Books,978-1782798897
"Sapolsky, Robert","Why Zebras Don't Get Ulcers: The Acclaimed Guide to Stress, Stress-Related Diseases, and Coping",Biopsychology,1994,W. H. Freeman and Company,9780716727187
"Sacks, Oliver",The Mind's Eye,Psychiatry,2010,Picador,9780330508902
"Kuhn, S. Thomas","The Structure of Scientific Revolutions, Second Edition, Enlarged",Philosophy of Science,1970,University of Chicago Press,226458040
"Gee, James P.",Social Linguistics and Literacies: Ideology in Discourses,Sociology,2011,Routledge,978-0415617765
"Flannery, Daniel. J., Vazsonyi, Alexander T., Waldman, Irwin D.",The Cambridge Handbook of Violent Behavior and Aggression (Cambridge Handbooks in Psychology,Psychology,2007,Cambridge University Press,978-0521607858
"Brown, Jennifer M., Campbell, Elizabeth A.",The Cambridge Handbook of Forensic Psychology (Cambridge Handbooks in Psychology,Psychology,2010,Cambridge University Press,978-0521701815
"Freud, Sigmund","A mindennapi élet pszichopatológiája   - Elfelejtésről, elszólászról, elvétésről, babonáról és tévedésekről",Psychology,2006,Gabo könyvkiadó,9789639635340
"Spinoza, Benedict",Ethics,Philosophy of Ethics,2001,Wordsworth Classics of World Literature,9781840221190
"Gigerenzer, Gerd",Adaptive Thinking: Rationality in the Real World,Cognitive Science,2000,Oxford University Press,978-0195136227
"Rutkowska, C. Julie",The Computational Infant,Cognitive Science,1993,Harvester Wheatsheaf,978-0745014159
"Coats, J. Erik, Feldman, S. Robert",Classic and Contemporary Readings in Social Psychology,Social Psychology,1996,Prentice-Hall,978-0130873668
"Winston, Patrick Henry",Artificial Intelligence,Cognitive Science,1992,Addison-Wesley Publishing Company,9780201533774
"Sapolsky, Robert",Behave,Interdisciplinary,2017,Penguin Press,978-1594205071
Plato,The Republic,Philosophy,375 BC,Penguin Classics,
Descartes,Philosophical Writings,Philosophy,1966,Nelson,
"Spinoza
",The philosophy of Spinoza,Philosophy,1927,The Modern Library,
"Nietzsche, Friedrich",The Will to Power,Philosophy,1967,Vitnage Giant,394-70437-1
"Kahneman, Daniel",Thinking Fast and Slow,Psychology,2012,Penguin Books,978-0-141-03357-0
"Munroe, Randall
",How to,Science,2019,John Murray,9781529325287
"Magae, Bryan
",Popper,Science,1975,Fontana Modern Masters,
"Schrodinger, Erwin",What is life?,Science,2018,Cambridge University Press,
"Wertheim, Margareth",Pythagoras' trousers,"Sociology
",1996,Fourth Estate,
"Kinchin, A.I.",Mathematical Foundations of Information Theory,"Information Theory
",1957,Dover Publications,
"Braitenberg, Valentino",Vehicles,Philosophy,1994,"MIT press
",
"Aaron, Jason",Southern Bastards 1,Comics & Graphic Novels,14/10/2014,Image Comics,9781632150165
"Alexander, C.H.O'D.",Learn Chess: v. 2: A New Way for All,,12/1963,Pergamon Press,0080099793
"Apollinaire, Guilluame",Tizenegyezer vessző,,,Flaccus,9638596031
"Asano, Inio",Goodnight Punpun,Manga,15/03/2016,VIZ Media LLC,9781421586205
"Asimov, Isaac",Foundation Trilogy,Fiction,2010,Everyman's Library,9781841593326
"Asimov, Isaac",Nine Tomorrows,Science-fiction,1966,Cox & Wyman Ltd.,
"Asimov, Isaac",The Naked Sun,Science-fiction,01/10/1993,Voyager,9780586010167
"Bouquillard, Jocelyn","Hokusai, First Manga Master",Art,01/06/2007,Harry N. Abrams,9780810993419
"Bourdain, Anthony",A konyhafőnök vallomásai,,2000,Tericum,
"Brian K. Vaughan, Fiona Staples",Saga Volume 1,Comics & Graphic Novels,2012,Image Comics,9781607066019
"Brian K. Vaughan, Fiona Staples",Saga Volume 2,Comics & Graphic Novels,02/07/2013,Image Comics,9781607066927
"Brian K. Vaughan, Fiona Staples",Saga Volume 3,Comics & Graphic Novels,2014,Image Comics,9781607069317
"Brian K. Vaughan, Fiona Staples",Saga Volume 4,Comics & Graphic Novels,26/12/2014,Image Comics,9781632150776
"Brian K. Vaughan, Fiona Staples",Saga Volume 5,Comics & Graphic Novels,2014,Image Comics,9781632154385
"Brian K. Vaughan, Fiona Staples",Saga Volume 6,Comics & Graphic Novels,05/07/2016,Image Comics,9781632157119
"Brian K. Vaughan, Fiona Staples",Saga Volume 7,Comics & Graphic Novels,04/04/2017,Image Comics,9781534300606
"Bulgakov, Mikhail",A Country Doctor's Notebook,Autobiographical fiction,01/01/2010,Vintage Classics,9780099529569
"Bulgakov, Mikhail",A Dead Man's Memoir: A Theatrical Novel (Penguin Classics),,04/10/2007,Penguin Classics,9780140455144
"Carroll, Lewis",Alice in Wonderland,,28/08/2006,Firefly Books Ltd,9781554072033
"Clarke, Arthur C.",Imperial Earth,Science-fiction,22/07/1998,Gollancz,9780575601581
"Clarke, Arthur Charles",2001: Space Odyssey,Computers,1968,Arrow,0099066106
"Clarke, Arthur Charles",Rendezvous With Rama,Fiction,1990,Spectra,978-0553287899
"Dear, Nick","Frankenstein, based on the novel by Mary Shelley",Play,17/02/2011,Faber & Faber,9780571277216
"Dick, Philip K.",Do Androids Dream of Electric Sheep?,Androids,2007,Orion Books,9780575079939
"Dostoevsky, Fyodor",Notes From Underground,,10/04/2010,Vintage Digital,9780099140115
"Duggan, Gerry",Arkham Manor,Comics & Graphic Novels,07/2015,DC Comics,9781401254582
"Dutton, Kevin",The Wisdom of Psychopaths,Self-Help,12/09/2013,Random House,9780099551065
"Emmerling, Leonhard",Basquiat.,Art,31/03/2003,Taschen Deutschland GmbH+,9783822816363
"Fromm, Erich",The Forgotten Language,Dream interpretation.,1957,Atlantic Books,9780802130501
"Gaiman, Neil",American Gods,Fiction,2005,Headline Publishing Group,9780755322817
"Gaiman, Neil",Signal to Noise,Cancer,2007,A&C Black,9780747588436
"Gerloczy, Marton",A csemegepultos naploja,,2009,Ulpius-haz,9789632542461
"Gibson, William",Mona Lisa Overdrive,Cyberpunk fiction,1989,Voyager,9780586207475
"Gibson, William",Neuromancer,Cyberpunk fiction,08/12/2016,Gollancz,9781473217386
"Ginsberg, Allen",A leples bitang,,1984,Európa Könyvkiadó,
"Goethe, Johann Wolfgang",Faust,,,,
"Hamvas, Béla",Anthologia humana,Spiritual,2000,Életünk Könyvek,9637918000
"Harris, Thomas",Red Dragon,"Lecter, Hannibal (Fictitious character)",01/01/2009,Random House,9780099532934
"Harris, Thomas",The Silence of the Lambs,Detective and mystery stories,01/01/2009,Arrow Books,9780099532927
"Howey, Hugh",Wool,Young Adult,15/12/2012,Random House,9781780891231
"Huxley, Aldous",Brave New World,Classical fiction,01/01/2007,Random House,9780099518471
HuxleyAldous,Az érzékelés kapui - Menny és pokol,,2008,Cartaphilus,9789632660516
"Imre, Madách",Az ember tragédiája,Play,2004,Mérték Kiadó,
"Inoue, Takehiko","Vagabond, Vol. 1 (VIZBIG Edition)",Comics & Graphic Novels,19/09/2008,VIZ Media LLC,9781421520544
"Inoue, Takehiko","Vagabond, Vol. 2 (VIZBIG Edition)",Comics & Graphic Novels,16/12/2008,VIZ Media LLC,9781421522449
"Inoue, Takehiko","Vagabond, Vol. 3 (VIZBIG Edition)",Comics & Graphic Novels,21/04/2009,VIZ Media LLC,9781421522456
"Inoue, Takehiko","Vagabond, Vol. 4 (VIZBIG Edition)",Comics & Graphic Novels,21/07/2009,VIZ Media LLC,9781421522463
"Inoue, Takehiko","Vagabond, Vol. 5 (VIZBIG Edition)",Comics & Graphic Novels,20/10/2009,VIZ Media LLC,9781421522470
"Inoue, Takehiko","Vagabond, Vol. 6 (VIZBIG Edition)",Comics & Graphic Novels,,VIZ Media LLC,
"Inoue, Takehiko","Vagabond, Vol. 7 (VIZBIG Edition)",Comics & Graphic Novels,,VIZ Media LLC,
"Itoh, Project",Genocidal Organ,Science-fiction,13/09/2012,Haikasoru,9781421542720
"Itoh, Project",Harmony,Fiction,20/07/2010,Haikasoru,9781421536439
"James, Clive",The Divine Comedy,Narrative poem,01/06/2015,Picador,9781447244226
"Jeff Lemire, Dan Jurgens, Keith Giffen, Brian Azzarello ",The New 52: Future's End Vol. 1,Comics & Graphic Novels,09/12/2014,DC Comics,9781401252441
"Jeff Lemire, Dan Jurgens, Keith Giffen, Brian Azzarello ",The New 52: Futures End Vol. 2 ,Comics & Graphic Novels,07/2015,DC Comics,9781401256029
"Jeff Lemire, Dan Jurgens, Keith Giffen, Brian Azzarello ",The New 52: Futures End Vol. 3,Comics & Graphic Novels,08/09/2015,DC Comics,9781401258788
"Jelinek, Elfriede",The Piano Teacher,Vienna (Austria),2010,Profile Books,9781846687372
"Jens, Walter",A Judás-ügy,,1975,Ulpius-ház,
"József, Attila",Szabad-ötletek jegyzéke (Veszedelmes viszonyok),Poetry,1995,Atlantisz,9637978003
"Kafka, Franz",Metamorphosis and Other Stories,,06/01/2011,Penguin Classics,9780141197562
"Kafka, Franz",The Trial,Psychological fiction,2000,Penguin Books,9780141182902
"Karinthy, Frigyes",Utazás a koponyám körül,,1991,Editorg Kiadó,
"Kästner, Erich",A repülő osztály,,1999,Móza,9789631174847
Kató Kóko,Rejtőzködő tó - Modern japán haikuk,Poetry,2015, Napkút,9789632635309
"Kirino, Natsuo",Out,Detective and mystery stories,2004,Random House,9780099472285
"Kittredge, Caitlin",Coffin Hill Vol. 1: Forest of The Night,Comics & Graphic Novels,20/05/2014,Vertigo,9781401248871
"Kósun, Takami",Battle Royale,,2006,Ulpius-ház,9639602612
"Lemire, Jeff",Descender Volume 1,Comics & Graphic Novels,04/08/2015,Image Comics,9781632154262
"Lob, Jacques",Snowpiercer,Comics & Graphic Novels,10/06/2014,Titan Comics,9781782761433
"Maguire, Gregory","Wicked, the life and times of the wicked witch of the west",Fiction,04/2009,"Editorial Planeta, S.a.",9788408085812
"Makovecz Benjamin, Csányi Vilmos",A kentaur kultúra,,2014,Libri Kiadó,
"Marzona, Daniel",Minimal Art,Art,2009,Taschen America Llc,9783836514064
"McFarlane, Todd",Spawn: Origins Book 1 (Spawn Origins Hc),Comics & Graphic Novels,30/03/2010,Image Comics,9781607061533
"Moore, Alan","Watchmen, International Edition",Comics & Graphic Novels,20/05/2014,DC Comics,9781401248192
"Morrison, Jim",A zenének vége,Poetry,1999,Cartafilus Kiadó,
"Murakami, Ryu",Coin Locker Babies,Japan,05/2013,Pushkin Press,9781908968470
"Murakami, Ryu",In the Miso Soup,Suspense fiction,2006,Bloomsbury Publishing UK,9780747578888
"Nietzsche, Friedrich",Zarathustra : mindeneknek szólo és senkinek se való könyv,Epic poem,1998,Laude,9639120340
Nisioisin,Death Note: Another Note (Novel),Comics & Graphic Novels,19/02/2008,VIZ Media LLC,9781421518831
"Noon, Jeff",Vurt,Science-fiction,07/12/2001,Pan,9780330338813
"Nury, Fabien",I am Legion,Comics & Graphic Novels,06/07/2016,"Humanoids, Inc",9781594651489
"Orwell, George",Animal Farm,Fiction,01/01/2000,Penguin UK,9780141182704
"Palahniuk, Chuck",Choke,Alzheimer's disease,2001,Vintage,9780224061902
"Palahniuk, Chuck",Fight Club,Fiction,17/10/2005,W. W. Norton & Company,978-0393327342
"Palahniuk, Chuck",Láthatatlan szörnyek,,2009,Cartafilus Kiadó,
"Pilinszky, János",Kráter,Poetry,1976,Szépirodalmi Könyvkiadó,
"Pizzolatto, Nic",Galveston,,21/11/2013,Sphere,9780751557053
"Pushkin, Alexander",Eugene Onegin: A Novel in Verse (Penguin Classics),,04/09/2008,Penguin,9780140448108
"Rejtő, Jenő",Az ellopott futár,,1968,Albatrosz Könyvek,
"Rejtő, Jenő",Csontbigárd,,1967,Albatrosz Könyvek,
"Remender, Rick",Black Science 1,Comics & Graphic Novels,10/06/2014,Image Comics,9781607069676
"Remender, Rick",Black Science 2,Comics & Graphic Novels,10/02/2015,Image Comics,9781632150189
"Rimbaud, Arthur",Lyra Mundi,Poetry,1981,Európa Könyvkiadó,
"Scott Snyder, JOCK",Wytches,Comics & Graphic Novels,02/06/2015,Image Comics,9781632153807
"Scott Snyder, Tim Seeley, Ray Fawkes, John Layman, James T Tynion IV",Batman Eternal Vol. 1,Comics & Graphic Novels,01/12/2014,Dc Comics,9781401251734
"Scott Snyder, Tim Seeley, Ray Fawkes, John Layman, James T Tynion IV",Batman Eternal Vol. 2,Comics & Graphic Novels,07/2015,DC Comics,9781401252311
"Scott Snyder, Tim Seeley, Ray Fawkes, John Layman, James T Tynion IV",Batman Eternal Vol. 3,Comics & Graphic Novels,13/10/2015,DC Comics,9781401257521
"Shakespeare, William",Coriolanus,Drama,25/04/2013,Bloomsbury Arden Shakespeare,9781904271284
"Shakespeare, William",The Tragedy of Macbeth (Annotated),Epic Poem,21/11/2009,Aquitaine Media Corp.,9780981793009
"Shelley, Mary J",Frankenstein,Gothic,1992,Penguin Classics,9780141439471
"Spiegelman, Art",The Complete Maus,Children of Holocaust survivors,2003,Batsford,9780141014081
"Stevenson, Robert L.",Dr. Jekyll and Mr. Hyde,,01/01/1995,Wolters-Noordhoff,9001548741
"Strugatsky, Arkady",Roadside Picnic,Science-fiction,26/06/2014,Gateway,9780575093133
"Szilágyi, Tibor Cs.",Harakiri,,2004,Ulpius-ház,
"Thompson, Hunter S.",Ancient Gonzo Wisdom,,2010,Pan Macmillan,9780330510721
"Thompson, Hunter S.",Félelem és reszketés Las Vegasban,,2007,Konkrét Könyvek,9789637424205
"Thompson, Hunter S.",The Gonzo Papers Anthology,Political culture,2011,Picador,9781447200529
"Wagner, John",Judge Dredd: Complete Case Files v. 1,Comics & Graphic Novels,10/12/2005,2000 AD Graphic Novels,9781904265795
"Weöres, Sándor",Psyché,Poetry,2010,Helikon,9789632272405
"Willingham, Bill",Fables,Comics & Graphic Novels,2009,Vertigo,9781401224271
"Wyatt, Arthur",DREDD: Urban Warfare,Comics & Graphic Novels,12/02/2015,2000 AD Graphic Novels,9781781083161
"Herbert, Frank",Dune,Science-fiction,1965,Hodder,9780340960196
Cervantes,Don Quixote,Romanticism,1605/2008,Wordsworth Editions,9781853260360
"Welsh, Irvin",Marabou Stork Nightmares,,1995,Jonathan Cape Original,224036866
"Baker, Tom",The Boy Who Kicked Pigs,,1999,Faber and Faber Limited,057119771X
"Ito, Junji",UZUMAKI Deluxe Edition,Cosmic Horror,2013,Viz LLC,978-1421561325
"Zola, Emile",L'assomoir,Realism,1876,Penguin Books,9780140442311
"Pasolini, Pier Paolo",Petrolio,,2015,Kalligram,9788081019043
